model	lhs	op	rhs	Unstand_Est	Unstand_SE	STD_Genotype	STD_Genotype_SE	STD_All	p_value
A	MDD	=~	ClinAppDec	0.011914232714809372	0.0273382606844889	0.03733843036881119	0.0856755747717397	0.037338452051592225	0.6629760389774846
A	MDD	=~	ClinAppInc	-0.07303941535279712	0.0286450522096193	-0.2008324818299004	0.0787639800459787	-0.20083296749466492	0.010778191301774905
A	MDD	=~	ClinSleDec	-0.04084158753150496	0.0279182145219446	-0.13843649441319153	0.0946311552496227	-0.1384363507189339	0.14349443516815122
A	MDD	=~	ClinSleInc	-0.052895185116307385	0.025585297800973	-0.21445497604094557	0.103731247074187	-0.2144546588348146	0.0386959614524982
A	MDD	=~	ClinMotoInc	-0.04748293301634962	0.0211798469654607	-0.2389704150198809	0.106593212368893	-0.2389701126002194	0.02496834239851445
A	MDD	=~	ClinMotoDec	-0.032672730753503396	0.0232442308095041	-0.20019528091168415	0.142423960535682	-0.20019413970427202	0.1598347565486718
A	MDD	=~	ClinGuilt	-0.12157123730104197	0.0359921538632084	-0.44757495183559937	0.132508132730775	-0.44757385823258516	7.309079550630553e-4
A	MDD	=~	ClinSui	-0.13312205740124095	0.0265817214755616	-0.5064514916267956	0.101128014903813	-0.5064516346729416	5.49899780262493e-7
A	MDD	=~	CommDep	-0.2551742928727138	0.0105989183017721	-0.8659222507956624	0.0359669231908915	-0.865922180094738	4.514333335489604e-128
A	MDD	=~	CommAnh	-0.26996019089017675	0.00963612448513501	-0.9237763600382635	0.0329738054526471	-0.9237764589825057	1.0540102256494996e-172
A	MDD	=~	CommAppDec	-0.09352854775971137	0.0145037274818819	-0.4272576583847087	0.0662558986102524	-0.427256906623576	1.1289778678431562e-10
A	MDD	=~	CommAppInc	-0.15380066920369076	0.0184011436044681	-0.4222061111946746	0.0505139330984918	-0.4222061265481667	6.367565244742311e-17
A	MDD	=~	CommSleDec	-0.15981498990091358	0.0160323968263972	-0.6246074206042546	0.0626596785051137	-0.6246076819160976	2.098877808846768e-23
A	MDD	=~	CommSleInc	-0.2171934472123939	0.0200727718473349	-0.7083051052623198	0.0654607150740523	-0.7083041192275351	2.7586778353175743e-27
A	MDD	=~	CommFatig	-0.14997390824068318	0.0194523669061566	-0.5623511594936469	0.0729397326896953	-0.5623510702087005	1.2601253222846543e-14
A	MDD	=~	CommGuilt	-0.15233167438336093	0.0132473846637897	-0.586061258076134	0.0509663129217373	-0.586061293692692	1.3345279915140198e-30
A	MDD	=~	CommConc	-0.16626376720211863	0.0156285540310912	-0.7321748836036642	0.0688233325225377	-0.7321745399061297	1.9736157172620128e-26
A	MDD	=~	CommSui	-0.11559044224805991	0.0129197468785904	-0.5979044571768047	0.066828851450212	-0.5979042077015376	3.6592340090006504e-19
A	MDD	=~	UkbDep	-0.18293722415677918	0.0116678210492978	-0.8630811697713803	0.0550476500791071	-0.8630824634429685	2.1126614551023767e-55
A	MDD	=~	UkbAnh	-0.19566752654911834	0.011642741748278	-0.884371207425984	0.0526224735517931	-0.8843710783774019	2.2068641424526427e-63
A	ClinAppDec	~~	ClinAppDec	0.10167636046030191	0.0282774735104062	0.9986046801996153	0.277723815248936	0.998605839998391	3.235622659191578e-4
A	ClinAppInc	~~	ClinAppInc	0.12692977117364493	0.0279222096225592	0.9596614777435003	0.211108672495898	0.9596661191672868	5.471776594465388e-6
A	ClinSleDec	~~	ClinSleDec	0.0853691056095965	0.0364811231931508	0.9808374129770262	0.419142245458002	0.9808353767996244	0.019279101834977226
A	ClinSleInc	~~	ClinSleInc	0.05803817866581438	0.0277273510787718	0.954012021511707	0.455771209558382	0.9540091993040434	0.03633359810014076
A	ClinMotoInc	~~	ClinMotoInc	0.037226171638301185	0.0183615803032378	0.9428956717718012	0.465075868726823	0.9428932852838384	0.042622057702688496
A	ClinMotoDec	~~	ClinMotoDec	0.02556824356699144	0.0211538434594637	0.959933250540368	0.794191601773213	0.9599223064280664	0.2267855165799467
A	ClinGuilt	~~	ClinGuilt	0.05899761075552773	0.0496294719298497	0.7996815493000187	0.672681206516082	0.7996776414267979	0.23453349036842952
A	ClinSui	~~	ClinSui	0.05136982258289683	0.0267994284737144	0.7435063217334894	0.387884610350758	0.7435067417371053	0.055260129361249334
A	CommDep	~~	CommDep	0.02172540176756735	0.00407859641089127	0.25017881887323556	0.0469671699449827	0.2501787780199764	1.0002093689778659e-7
A	CommAnh	~~	CommAnh	0.012523187523324923	0.00318732123236385	0.1466370224176168	0.0373215545615253	0.14663705382974307	8.527731984693235e-5
A	CommAppDec	~~	CommAppDec	0.039171676763876895	0.00812354249913484	0.8174544123669075	0.169525708249528	0.8174515357424528	1.42129908418877e-6
A	CommAppInc	~~	CommAppInc	0.10904420023631876	0.0118265384862853	0.8217419269400309	0.0891231630649184	0.8217419867051934	2.9627774443853974e-20
A	CommSleDec	~~	CommSleDec	0.039925858459958094	0.0114594534650546	0.6098647334031584	0.175042511936882	0.6098652436913989	4.937987149483003e-4
A	CommSleInc	~~	CommSleInc	0.046854130997195126	0.013615548701321	0.4983066620743185	0.144804532214378	0.49830527468530594	5.790923708404169e-4
A	CommFatig	~~	CommFatig	0.04863185333861367	0.0135038877415004	0.6837614909578369	0.189863932376366	0.6837612738351292	3.1660267515343503e-4
A	CommGuilt	~~	CommGuilt	0.04435569264945192	0.00695735286804193	0.6565320802367174	0.102979391171586	0.6565321600352482	1.8252280225240712e-10
A	CommConc	~~	CommConc	0.02392264313416381	0.00824249281074339	0.4639208786606237	0.159842635019076	0.4639204431132473	0.0037036815407273174
A	CommSui	~~	CommSui	0.024013742282316487	0.00545289448687174	0.642511094587403	0.145897313702499	0.6425105584127965	1.0634532834578909e-5
A	UkbDep	~~	UkbDep	0.011460398630168572	0.00528915127189896	0.2550878965946069	0.117729247737077	0.255088661297217	0.030252045123079024
A	UkbAnh	~~	UkbAnh	0.010665934270292741	0.00538993573953574	0.21788785931853905	0.110107192580509	0.2178877957295913	0.04783164484711894
A	MDD	~~	MDD	1		1		1	NA
B	CLIN	=~	ClinAppDec	0.019762896043421244	0.0414016853799513	0.0619324369075773	0.129748271150633	0.06193251331275569	0.6331163252198865
B	CLIN	=~	ClinAppInc	-0.11970311487970584	0.0457945345367017	-0.32913882857996996	0.125918974776	-0.32913886271298826	0.008951076393088045
B	CLIN	=~	ClinSleDec	-0.06071521663322435	0.0432431808117808	-0.2057959689866659	0.14657577028012	-0.20579573647349764	0.16030651833817142
B	CLIN	=~	ClinSleInc	-0.0852471247008289	0.0413530432078153	-0.34561543221189905	0.167658369235713	-0.34561552487387115	0.03926037374634082
B	CLIN	=~	ClinMotoInc	-0.07026025582772327	0.0319524039339705	-0.3536014483248306	0.160808540859235	-0.3536014177798868	0.027884778060724903
B	CLIN	=~	ClinMotoDec	-0.05047184965511308	0.0339317185059143	-0.30925026516273657	0.207908258091405	-0.3092510450190982	0.13689510533523022
B	CLIN	=~	ClinGuilt	-0.19115329079207954	0.0581838214554048	-0.7037399596	0.214208644889756	-0.7037414207649368	0.0010186152045075102
B	CLIN	=~	ClinSui	-0.20415595778890885	0.0525962329640138	-0.7766893059156779	0.200099097876207	-0.7766899881604576	1.0378428650354073e-4
B	COMM	=~	CommDep	0.2554742716823496	0.0105996908253949	0.8669406819561974	0.0359695550793004	0.8669405108336905	2.379040925597402e-128
B	COMM	=~	CommAnh	0.2702977996351423	0.0096388635771979	0.9249306675674162	0.0329831826740729	0.9249302032317029	4.93144301513054e-173
B	COMM	=~	CommAppDec	0.09337355712764779	0.0145177473748151	0.4265487734903271	0.0663199628562957	0.4265490898986855	1.2619825684494322e-10
B	COMM	=~	CommAppInc	0.15375974797776926	0.0184100078060419	0.4220940255613889	0.0505382732617946	0.42209395798830857	6.713633807385249e-17
B	COMM	=~	CommSleDec	0.1596984357651745	0.0160265083858224	0.6241519075470447	0.0626366757732012	0.6241520379853464	2.176542435443446e-23
B	COMM	=~	CommSleInc	0.21719253721325385	0.0200727650128311	0.7083018022623658	0.0654607045993558	0.7083020094995874	2.7599318293196762e-27
B	COMM	=~	CommFatig	0.14987264529995986	0.0194537543233191	0.5619714019028869	0.0729449469532729	0.5619715273163015	1.3182292181445603e-14
B	COMM	=~	CommGuilt	0.15229476456009508	0.013247221792589	0.585919891393343	0.0509656911062473	0.5859200855192279	1.3760457964179688e-30
B	COMM	=~	CommConc	0.16619033343961204	0.0156285591775717	0.731850726859524	0.0688233695134371	0.7318496219712645	2.0757341670038786e-26
B	COMM	=~	CommSui	0.11557612019958396	0.0129226950665063	0.597830340661614	0.0668441153768453	0.5978298444532488	3.7650827659496717e-19
B	COMM	=~	UkbDep	0.1830266962171104	0.0116629121016555	0.8635027912038694	0.0550245017399851	0.8635017038775349	1.687412569042658e-55
B	COMM	=~	UkbAnh	0.19572278378565525	0.01164756689767	0.8846214943531358	0.0526442900796234	0.8846210308785427	2.2909726355736687e-63
B	ClinAppDec	~~	ClinAppDec	0.10142805806739588	0.0283715666132436	0.9961619058913185	0.278647841901532	0.9961643637947654	3.5024170074042743e-4
B	ClinAppInc	~~	ClinAppInc	0.1179359980509732	0.0288471258973614	0.8916674241130055	0.218101359457594	0.8916676090520006	4.34526922035522e-5
B	ClinSleDec	~~	ClinSleDec	0.08335110514109262	0.0365882345465161	0.957650278800119	0.420372761443901	0.9576481148493309	0.02272151891667325
B	ClinSleInc	~~	ClinSleInc	0.05356912995915148	0.0282047822571284	0.8805494368028773	0.46361862775649	0.8805499089661586	0.0575260351712651
B	ClinMotoInc	~~	ClinMotoInc	0.03454470338380821	0.0183443494478237	0.8749661885074161	0.464639408766444	0.874966037344054	0.05968342751487158
B	ClinMotoDec	~~	ClinMotoDec	0.024088189595216275	0.0215546279514607	0.904359229986717	0.809237728979161	0.9043637911545956	0.26376289858641744
B	ClinGuilt	~~	ClinGuilt	0.037239442954316325	0.0497442157503838	0.5047459167045129	0.674236174733393	0.5047480126997482	0.4540871447729047
B	ClinSui	~~	ClinSui	0.027411276557513055	0.0302614161802081	0.3967519652762367	0.437991436314842	0.39675266229130823	0.3650332228680068
B	CommDep	~~	CommDep	0.02157222820690389	0.00408053844061364	0.24841424874271734	0.0469895686150624	0.24841415067541997	1.2460175098528406e-7
B	CommAnh	~~	CommAnh	0.012340915834977153	0.00318257747772367	0.14450426423841672	0.0372659522006912	0.14450411914976066	1.0547107957049045e-4
B	CommAppDec	~~	CommAppDec	0.039200697548087075	0.0081249710122061	0.8180546602614387	0.169555515848078	0.8180558739066031	1.4020117727111157e-6
B	CommAppInc	~~	CommAppInc	0.10905669736733996	0.011828384929488	0.821836953765685	0.0891370854304301	0.821836690629764	2.9733729529507705e-20
B	CommSleDec	~~	CommSleDec	0.03996326926032299	0.0114616639332118	0.610433978335788	0.175076278610209	0.6104342334787388	4.890378275848234e-4
B	CommSleInc	~~	CommSleInc	0.04685475626177134	0.01361153618074	0.4983079717457023	0.144761865133042	0.49830826333884626	5.768269732749953e-4
B	CommFatig	~~	CommFatig	0.04866211799571986	0.0135044957924875	0.6841876971096571	0.189872485140083	0.6841880024857835	3.1408001792172655e-4
B	CommGuilt	~~	CommGuilt	0.044366912116997226	0.00695525662022404	0.656697218233675	0.102948376421236	0.6566976533851406	1.7836015350197362e-10
B	CommConc	~~	CommConc	0.023947022076191676	0.00824271541673993	0.46439753303814385	0.159846938535017	0.4643961308205172	0.003669779181004199
